scatter,diam_mid,diam_upr,diam_lwr,Qc_mid,Qc_upr,Qc_lwr
0.000105021,0.368926411,0.453564225,0.32475554,0.005784179,0.01074829,0.003945415
0.00010521,0.369038617,0.453704067,0.324853583,0.00578945,0.010758235,0.00394899
0.000105399,0.369150634,0.453844161,0.324951802,0.005794719,0.010768198,0.003952571
0.000105588,0.369261824,0.453984506,0.325050198,0.005799967,0.010778178,0.003956158
0.000105778,0.369373215,0.454125104,0.32514877,0.005805224,0.010788177,0.003959752
0.000105968,0.369484806,0.454264607,0.325246748,0.00581049,0.010798132,0.003963334
0.000106158,0.369596597,0.454403917,0.325344347,0.005815766,0.010808085,0.003966909
0.000106349,0.369708589,0.454543477,0.325442121,0.005821051,0.010818055,0.00397049
0.00010654,0.369820782,0.454683288,0.325540071,0.005826346,0.010828044,0.003974078
0.000106731,0.369933177,0.45482335,0.325638197,0.00583165,0.010838051,0.003977672
0.000106923,0.370044759,0.454963663,0.325736499,0.005836932,0.010848075,0.003981273
0.000107115,0.370156048,0.455104229,0.325834978,0.005842208,0.010858118,0.00398488
0.000107308,0.370267537,0.455244574,0.325933633,0.005847494,0.010868156,0.003988494
0.0001075,0.370379227,0.455383741,0.326031241,0.005852789,0.010878144,0.003992084
0.000107693,0.370491117,0.455523157,0.32612894,0.005858094,0.010888151,0.003995679
0.000107887,0.370603207,0.455662824,0.326226815,0.005863408,0.010898175,0.003999281
0.000108081,0.3707155,0.455802742,0.326324865,0.005868732,0.010908218,0.004002889
0.000108275,0.370827973,0.455942911,0.326423091,0.005874066,0.010918278,0.004006503
0.000108469,0.370940383,0.456083332,0.326521494,0.00587942,0.010928357,0.004010124
0.000108664,0.371052995,0.456224005,0.326620074,0.005884784,0.010938454,0.004013752
0.000108859,0.371165809,0.456363533,0.326718427,0.005890157,0.010948502,0.004017376
0.000109055,0.371278826,0.456502832,0.326815977,0.00589554,0.010958547,0.004020982
0.000109251,0.371392045,0.45664238,0.326913702,0.005900933,0.010968609,0.004024594
0.000109447,0.371505469,0.45678218,0.327011602,0.005906335,0.010978689,0.004028213
0.000109644,0.371619095,0.45692223,0.327109679,0.005911747,0.010988787,0.004031839
0.000109841,0.37173163,0.457062532,0.327207931,0.005917118,0.010998904,0.004035471
